
"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ip_knowledgeclinician3pre,training_immediate_post,,radio,"How to promote age- and prognosis-appropriate preventive care","1,1|2,2|3,3|4,4|5,5",,,,,,"[kac3]=1 OR  [key(4)]=1",,LH,,,,"KEY: Individualized goal-setting"
ip_knowledgescreening3pre,training_immediate_post,"Mental Health",radio,"Screening for social isolation","1,1|2,2|3,3|4,4|5,5",,,,,,"[kas3]=1 OR  [key(5)]=1",,LH,,,,"KEY: Mental Health"
ip_knowledgescreening4pre,training_immediate_post,,radio,"Screening for common mental health disorders such as depression, anxiety, etc.","1,1|2,2|3,3|4,4|5,5",,,,,,"[kas4]=1 OR  [key(5)]=1",,LH,,,,"KEY: Mental Health"
ip_knowledgescreening6pre,training_immediate_post,,radio,"How to recognize caregiver burnout (e.g., red flags)","1,1|2,2|3,3|4,4|5,5",,,,,,"[kas6]=1 OR  [key(5)]=1",,LH,,,,"KEY: Mental Health"
ip_knowledgeintervention1pre,training_immediate_post,,radio,"How to address substance and alcohol abuse","1,1|2,2|3,3|4,4|5,5",,,,,,"[kai1]=1 OR  [key(5)]=1",,LH,,,,"KEY: Mental Health"
ip_knowledgeintervention7pre,training_immediate_post,,radio,"Providing guidance and community referrals to caregivers of adults ","1,1|2,2|3,3|4,4|5,5",,,,,,"[kai7]=1 OR  [key(5)]=1",,LH,,,,"KEY: Mental Health"
ip_knowledgeintervention8pre,training_immediate_post,,radio,"Providing guidance and community referrals for mental health evaluation and treatment","1,1|2,2|3,3|4,4|5,5",,,,,,"[kai8]=1 OR  [key(5)]=1",,LH,,,,"KEY: Mental Health"
ip_knowledgeafterdesc,training_immediate_post,"<b>KNOWLEDGE AFTER TRAINING</b>",descriptive,"<p>Rate your knowledge <u>after</u> today's training of each of the following issues related to the care of older adults</p><p>(1 = None, 2 = A Little, 3 = Adequate, 4 = Considerable, 5 = High)</p>",,,,,,,[suppressimmediatepost]<>1,,,,,,
ip_knowledgegeriatric4post,training_immediate_post,General,radio,"Roles of different disciplines in Interprofessional team care planning","1,1|2,2|3,3|4,4|5,5",,,,,,"[kag4]=1 OR  [key(0)]=1",,LH,,,,"KEY: General"
ip_knowledgegeriatric2post,training_immediate_post,Cognition,radio,"Non-medication approaches for dementia-associated behaviors","1,1|2,2|3,3|4,4|5,5",,,,,,"[kag2]=1 OR  [key(1)]=1",,LH,,,,"KEY: Cognition"
ip_knowledgegeriatric3post,training_immediate_post,,radio,"Problematic medications and drug interactions in older adults ","1,1|2,2|3,3|4,4|5,5",,,,,,"[kag3]=1 OR  [key(1)]=1",,LH,,,,"KEY: Cognition"
ip_knowledgescreening2post,training_immediate_post,,radio,"Using cognitive screening tools ","1,1|2,2|3,3|4,4|5,5",,,,,,"[kas2]=1 OR  [key(1)]=1",,LH,,,,"KEY: Cognition"
ip_knowledgeclinician1post,training_immediate_post,,radio,"How to distinguish between capacity and competency ","1,1|2,2|3,3|4,4|5,5",,,,,,"[kac1]=1 OR  [key(1)]=1",,LH,,,,"KEY: Cognition"
ip_knowledgescreening1post,training_immediate_post,Independence,radio,"How to assess activities of daily living (ADLs) and instrumental activities of daily living (IADLs)","1,1|2,2|3,3|4,4|5,5",,,,,,"[kas1]=1 OR  [key(2)]=1",,LH,,,,"KEY: Independence"
ip_knowledgescreening5post,training_immediate_post,,radio,"Screening for sensory impairment","1,1|2,2|3,3|4,4|5,5",,,,,,"[kas5]=1 OR  [key(2)]=1",,LH,,,,"KEY: Independence"
ip_knowledgeintervention2post,training_immediate_post,,radio,"How to implement appropriate interventions for all types of impairment (e.g., sensory, functional, etc.)","1,1|2,2|3,3|4,4|5,5",,,,,,"[kai2]=1 OR  [key(2)]=1",,LH,,,,"KEY: Independence"
ip_knowledgescreening7post,training_immediate_post,Safety,radio,"How to recognize elder abuse (e.g, red flags for physical, psychological and financial abuse, as well as self-neglect)","1,1|2,2|3,3|4,4|5,5",,,,,,"[kas7]=1 OR  [key(3)]=1",,LH,,,,"KEY: Safety"
ip_knowledgeintervention3post,training_immediate_post,,radio,"How to implement appropriate interventions to reduce fall risk","1,1|2,2|3,3|4,4|5,5",,,,,,"[kai3]=1 OR  [key(3)]=1",,LH,,,,"KEY: Safety"
ip_knowledgeintervention6post,training_immediate_post,,radio,"How to report elder abuse or self-neglect","1,1|2,2|3,3|4,4|5,5",,,,,,"[kai6]=1 OR  [key(3)]=1",,LH,,,,"KEY: Safety"
ip_knowledgegeriatric1post,training_immediate_post,"Individualized goal-setting",radio,"Scope of care models for older adults, such as in-home care and residential long-term care, and how they are funded","1,1|2,2|3,3|4,4|5,5",,,,,,"[kag1]=1 OR  [key(4)]=1",,LH,,,,"KEY: Individualized goal-setting"
ip_knowledgegeriatric5post,training_immediate_post,,radio,"When to utilize emergency services","1,1|2,2|3,3|4,4|5,5",,,,,,"[kag5]=1 OR  [key(4)]=1",,LH,,,,"KEY: Individualized goal-setting"
ip_knowledgeintervention4post,training_immediate_post,,radio,"How to engage older adults and/or their surrogates in self-management and care priorities ","1,1|2,2|3,3|4,4|5,5",,,,,,"[kai4]=1 OR  [key(4)]=1",,LH,,,,"KEY: Individualized goal-setting"
ip_knowledgeintervention5post,training_immediate_post,,radio,"How to engage older adults and/or their surrogates in advance care planning","1,1|2,2|3,3|4,4|5,5",,,,,,"[kai5]=1 OR  [key(4)]=1",,LH,,,,"KEY: Individualized goal-setting"
ip_knowledgeclinician2post,training_immediate_post,,radio,"Using prognostication tools ","1,1|2,2|3,3|4,4|5,5",,,,,,"[kac2]=1 OR  [key(4)]=1",,LH,,,,"KEY: Individualized goal-setting"
ip_knowledgeclinician3post,training_immediate_post,,radio,"How to promote age- and prognosis-appropriate preventive care","1,1|2,2|3,3|4,4|5,5",,,,,,"[kac3]=1 OR  [key(4)]=1",,LH,,,,"KEY: Individualized goal-setting"
ip_knowledgescreening3post,training_immediate_post,"Mental Health",radio,"Screening for social isolation","1,1|2,2|3,3|4,4|5,5",,,,,,"[kas3]=1 OR  [key(5)]=1",,LH,,,,"KEY: Mental Health"
ip_knowledgescreening4post,training_immediate_post,,radio,"Screening for common mental health disorders such as depression, anxiety, etc.","1,1|2,2|3,3|4,4|5,5",,,,,,"[kas4]=1 OR  [key(5)]=1",,LH,,,,"KEY: Mental Health"
ip_knowledgescreening6post,training_immediate_post,,radio,"How to recognize caregiver burnout (e.g., red flags)","1,1|2,2|3,3|4,4|5,5",,,,,,"[kas6]=1 OR  [key(5)]=1",,LH,,,,"KEY: Mental Health"
ip_knowledgeintervention1post,training_immediate_post,,radio,"How to address substance and alcohol abuse","1,1|2,2|3,3|4,4|5,5",,,,,,"[kai1]=1 OR  [key(5)]=1",,LH,,,,"KEY: Mental Health"
ip_knowledgeintervention7post,training_immediate_post,,radio,"Providing guidance and community referrals to caregivers of adults ","1,1|2,2|3,3|4,4|5,5",,,,,,"[kai7]=1 OR  [key(5)]=1",,LH,,,,"KEY: Mental Health"
ip_knowledgeintervention8post,training_immediate_post,,radio,"Providing guidance and community referrals for mental health evaluation and treatment","1,1|2,2|3,3|4,4|5,5",,,,,,"[kai8]=1 OR  [key(5)]=1",,LH,,,,"KEY: Mental Health"
ip_completiontext,training_immediate_post,Complete,descriptive,"Thank you for your participation!  If you entered your email address, we will send you a brief followup survey in about six weeks.",,,,,,,[suppressimmediatepost]<>1,,,,,,
cc_introtext,commitment_to_change_6_months,,descriptive,"Previously you attended a training about dementia given by trainers through the Geriatrics Workforce Enhancement Program on [auto_trainingdate]",,,,,,,,,,,,,
cc_previousstatement,commitment_to_change_6_months,,descriptive,"You provided us with a commitment to change statement at the end of that session, which we have copied here:

<i>[pe_plannedchangescog]</i>


Refer to this statement when answering the following questions.",,,,,,,,,,,,,
cc_implementedchange,commitment_to_change_6_months,,radio,"Did you implement the change described above?","2, I implemented the change. | 1, I partially implemented the change. | 0, I did not implement the change.",,,,,,,,,,,,
cc_changebarriers,commitment_to_change_6_months,,notes,"Describe what barriers you experienced to implementing the change described above.",,,,,,,,,LH,,,,
cc_changeplans,commitment_to_change_6_months,,notes,"Describe any plans you have for implementing the change in the future.",,,,,,,,,LH,,,,
cc_changecomments,commitment_to_change_6_months,,notes,"Provide any further comments about implementing your commitment to change statement here.",,,,,,,,,LH,,,,
